city,zone,zone_type,locality
East Khasi Hills,Shillong-East Khasi Hills,ZONE,Rynjah
Thiruvananthapuram,Thiruvananthapuram,ZONE,Amachal
Chittoor,Chittoor,ZONE,Gajulavaripalle
Guntur,Guntur,ZONE,Etukuru
Bhubaneswar,Bhubaneswar,ZONE,I R C Village
Chittoor,Chittoor,ZONE,Kasipentla
Amritsar,Amritsar,ZONE,Chak Sikandar
Amritsar,Amritsar,ZONE,Kullah
Guntur,Guntur,ZONE,Vengalayapalem
Guntur,Guntur,ZONE,Ponnur
Meerut,Sadar Bazaar,ZONE,Banker Street
Hooghly,Hooghly,ZONE,Radhanagar
Erode,Erode,ZONE,Chikkarasampalayam
Thiruvananthapuram,Thiruvananthapuram,ZONE,Puliyurkonam
Thrissur,Thrissur,ZONE,Mundur
Thrissur,Thrissur,ZONE,Punkunnu
Chittoor,Chittoor,ZONE,Bandrevu
Nellore,Nellore,ZONE,Nellimitta Kandriga
Aurangabad,Aurangabad,ZONE,Gondegaon
Patna,Raja Bazar,ZONE,Patna Sectt.
Chandigarh,Sector 36,ZONE,Punjab Uni
Warangal,Warangal,ZONE,Chillamcherla
Nellore,Nellore,ZONE,Zangalapalli
Salem,Salem,ZONE,Pudupet
Salem,Salem,ZONE,Punavasal
Bilaspur,Bilaspur,ZONE,Tenganmada
Lucknow,Indranagar,ZONE,Sector-18 Indiranagar
Chittoor,Chittoor,ZONE,Vijayapuram
Lucknow,Hazratganj,ZONE,U P Governer Camp
Guntur,Guntur,ZONE,Nekkallu
Guntur,Guntur,ZONE,Nagireddipalle
Vadodara,Alkapuri,ZONE,Undera
Madurai,Madurai,ZONE,T.Uchapatti
North 24 Parganas,North 24 Parganas,ZONE,Dhapa
Las Pinas,Las Pinas Region,ZONE,Manuyo Dos
North 24 Parganas,North 24 Parganas,ZONE,Sikharpur
Chennai,Chennai South West 1,ZONE,Kilkattalai
Chennai,Chennai South West 1,ZONE,Vanuvampet
Amritsar,Amritsar,ZONE,Kasail
North Goa,North Goa,ZONE,Qurinpani
Jamshedpur,Jamshedpur,ZONE,Golmuri
Mysore,Mysore,ZONE,Kethupura
Vijayawada,Benz Circle,ZONE,Vasavya Nagar
Kolkata,Dum dum,ZONE,Sinthi
Delhi,Dwarka,ZONE,Dwarka Sector 27
Kannur,Kannur,ZONE,Othayammadam
Ranchi,Ranchi,ZONE,Patrahatu
Ranchi,Ranchi,ZONE,Kochasindri
Thiruvananthapuram,Thiruvananthapuram,ZONE,Cheruvarakonam
Thrissur,Thrissur,ZONE,Vellanchira
Nellore,Nellore,ZONE,Manganellore
Nellore,Nellore,ZONE,Mandapam
Warangal,Warangal,ZONE,Soorpalli
Chittoor,Chittoor,ZONE,Ramapuram
Chittoor,Chittoor,ZONE,Readspet
Allahabad,Allahabad,ZONE,Mansoorabad
Allahabad,Allahabad,ZONE,Nibi Bari
Ludhiana,Ludhiana Zone 2,ZONE,Basant City
Quezon City,Quezon Region,ZONE,E. Rodriguez
Anantapur,Anantapur,ZONE,Bukkapatnam
Ghaziabad,Rajendra Nagar,ZONE,Rajendra Nagar
Faridabad,Faridabad,ZONE,Khaika
Erode,Erode,ZONE,Singampettai
Guntur,Guntur,ZONE,Manduru
Amritsar,Amritsar,ZONE,Mari Megha
Thiruvananthapuram,Thiruvananthapuram,ZONE,Njarayilkonam
Thrissur,Thrissur,ZONE,Kallur
Aurangabad,Aurangabad,ZONE,Paithan Sakhar Karkhana
Aurangabad,Aurangabad,ZONE,Wadwali
Tiruchirappalli,Tiruchirappalli,ZONE,Jainagar
Allahabad,Allahabad,ZONE,Chhapar
Salem,Salem,ZONE,Vellakadai
Chittoor,Chittoor,ZONE,Nanjampet
Dantewada,Dantewada,ZONE,Ronje
Warangal,Warangal,ZONE,Ramachandrapuram
Faridabad,Faridabad,ZONE,Kartik Vihar
Mumbai,Powai,ZONE,Hanuman Road
Tiruchirappalli,Tiruchirappalli,ZONE,Kothampatti
South Goa,South Goa,ZONE,Cundiam
Erode,Erode,ZONE,Kannivadi
Vijayawada,Suryaraopet,ZONE,Eluru Road
Nellore,Nellore,ZONE,Gogulapalli
Tiruchirappalli,Tiruchirappalli,ZONE,Perumalpalayam
Aurangabad (BH),Aurangabad (BH),ZONE,Pandaria
Chittoor,Chittoor,ZONE,Sampathikota
